answer,question
Cambrian,"The Cambrian (/ˈkæmbriən/ or /ˈkeɪmbriən/) is the first geological period of the Paleozoic Era, lasting from 541 to 485.4 million years ago (mya) and is succeeded by the Ordovician. Its subdivisions, and indeed its base, are somewhat in flux. The period was established (as “Cambrian series”) by Adam Sedgwick, who named it after Cambria, the Latinised form of Cymru, the Welsh name for Wales, where Britain's Cambrian rocks are best exposed. The Cambrian is unique in its unusually high proportion of lagerstätte sedimentary deposits. These are sites of exceptional preservation, where ""soft"" parts of organisms are preserved as well as their more resistant shells. This means that our understanding of the Cambrian biology surpasses that of some later periods."
Impulse (physics),"In classical mechanics, impulse (symbolized by J or Imp) is the integral of a force, F, over the time interval, t, for which it acts. Since force is a vector quantity, impulse is also a vector in the same direction. Impulse applied to an object produces an equivalent vector change in its linear momentum, also in the same direction. The SI unit of impulse is the newton second (N·s), and the dimensionally equivalent unit of momentum is the kilogram meter per second (kg·m/s). The corresponding English engineering units are the pound-second (lbf·s) and the slug-foot per second (slug·ft/s)."
Eigenvalue,"In linear algebra, an eigenvector or characteristic vector of a square matrix is a vector that does not change its direction under the associated linear transformation. In other words—if v is a vector that is not zero, then it is an eigenvector of a square matrix A if Av is a scalar multiple of v. This condition could be written as the equation:"
Cell nucleus,"In cell biology, the nucleus (pl. nuclei; from Latin nucleus or nuculeus, meaning kernel) is a membrane-enclosed organelle found in eukaryotic cells. Eukaryotes usually have a single nucleus, but a few cell types have no nuclei, and a few others have many."
Lupus nephritis,"Lupus nephritis is an inflammation of the kidneys caused by systemic lupus erythematosus (SLE), a disease of the autoimmune system. It is a type of glomerulonephritis in which the glomeruli become inflamed. As the result of SLE, its cause is said to be secondary and has a different pattern and outcome from conditions with a primary cause originating in the kidney."
Fourier transform,"The Fourier transform decomposes a function of time (a signal) into the frequencies that make it up, similarly to how a musical chord can be expressed as the amplitude (or loudness) of its constituent notes. The Fourier transform of a function of time itself is a complex-valued function of frequency, whose absolute value represents the amount of that frequency present in the original function, and whose complex argument is the phase offset of the basic sinusoid in that frequency. The Fourier transform is called the frequency domain representation of the original signal. The term Fourier transform refers to both the frequency domain representation and the mathematical operation that associates the frequency domain representation to a function of time. The Fourier transform is not limited to functions of time, but in order to have a unified language, the domain of the original function is commonly referred to as the time domain. For many functions of practical interest one can define an operation that reverses this: the inverse Fourier transformation, also called Fourier synthesis, of a frequency domain representation combines the contributions of all the different frequencies to recover the original function of time."
Avogadro constant,"In chemistry and physics, the Avogadro constant (symbols: L, NA) is the number of constituent particles, usually atoms or molecules, that are contained in the amount of substance given by one mole. Thus it is the proportionality factor that relates the molar mass of a compound to its mass. Avogadro's constant has the value 7023602214085700000♠6.022140857(74)×1023 mol−1 in the International System of Units (SI)."
Hubble Space Telescope,"The Hubble Space Telescope (HST) is a space telescope that was launched into low Earth orbit in 1990, and remains in operation. With a 2.4-meter (7.9 ft) mirror, Hubble's four main instruments observe in the near ultraviolet, visible, and near infrared spectra. The telescope is named after the astronomer Edwin Hubble."
Prion,"A prion (/ˈpriːɒn/) is an infectious agent, composed entirely of protein, presumed to be the cause of the transmissible spongiform encephalopathies (TSEs). The protein it is composed of, called PrP (short for prion protein) can fold in multiple, structurally distinct ways, at least one of which is transmissible to other prion proteins. It is this form of replication that leads to disease that is similar to viral infection. The word prion, coined in 1982 by Stanley B. Prusiner, is short for “proteinaceous infectious particle” derived from the words protein and infection, hence prion, in reference to a prion's ability to self-propagate and transmit its conformation to other prions. While several yeast proteins have been identified as having prionogenic properties, the first prion protein was discovered in mammals and is referred to as the major prion protein (PrP). This infectious agent causes mammalian transmissible spongiform encephalopathies, including bovine spongiform encephalopathy (BSE, also known as ""mad cow disease"") and scrapie in sheep. In humans, PrP causes Creutzfeldt-Jakob Disease (CJD), variant Creutzfeldt-Jakob Disease (vCJD), Gerstmann–Sträussler–Scheinker syndrome, Fatal Familial Insomnia and kuru."
Vitamin A,"Vitamin A is a group of unsaturated nutritional organic compounds, that includes retinol, retinal, retinoic acid, and several provitamin A carotenoids, and beta-carotene. Vitamin A has multiple functions: it is important for growth and development, for the maintenance of the immune system and good vision. Vitamin A is needed by the retina of the eye in the form of retinal, which combines with protein opsin to form rhodopsin, the light-absorbing molecule necessary for both low-light (scotopic vision) and color vision. Vitamin A also functions in a very different role as retinoic acid (an irreversibly oxidized form of retinol), which is an important hormone-like growth factor for epithelial and other cells."
Electron affinity,"In chemistry and atomic physics, the electron affinity of an atom or molecule is defined as the amount of energy released when an electron is added to a neutral atom or molecule in the gaseous state to form a negative ion."
Epstein-Barr virus,"The Epstein–Barr virus (EBV), also called human herpesvirus 4 (HHV-4), is one of eight viruses in the herpes family, and is one of the most common viruses in humans."
Translation (biology),"In molecular biology and genetics, translation is the process in which cellular ribosomes create proteins."
Lattice energy,"The lattice energy of a crystalline solid is usually defined as the energy of formation of the crystal from infinitely-separated ions and as such is invariably negative. The concept of lattice energy was originally developed for rocksalt-structured and sphalerite-structured compounds like NaCl and ZnS, where the ions occupy high-symmetry crystal lattice sites. In the case of NaCl, the lattice energy is the energy released by the reaction"
Meselson-Stahl experiment,"The Meselson–Stahl experiment was an experiment by Matthew Meselson and Franklin Stahl in 1958 which supported the hypothesis that DNA replication was semiconservative. In semiconservative replication, when the double stranded DNA helix is replicated, each of the two new double-stranded DNA helixes consisted of one strand from the original helix and one newly synthesized. It has been called ""the most beautiful experiment in biology."" Meselson and Stahl decided the best way to tag the parent DNA would be to change one of the atoms in the parent DNA molecule. Since nitrogen is found in the nitrogenous bases of each nucleotide, they decided to use an isotope of nitrogen to distinguish between parent and newly-copied DNA. The isotope of nitrogen had an extra neutron in the nucleus, which made it heavier."
Four color theorem,"In mathematics, the four color theorem, or the four color map theorem, states that, given any separation of a plane into contiguous regions, producing a figure called a map, no more than four colors are required to color the regions of the map so that no two adjacent regions have the same color. Two regions are called adjacent if they share a common boundary that is not a corner, where corners are the points shared by three or more regions. For example, in the map of the United States of America, Utah and Arizona are adjacent, but Utah and New Mexico, which only share a point that also belongs to Arizona and Colorado, are not."
Cytokine,"Cytokines (cyto, from Greek ""κύτταρο"" kyttaro ""cell"" + kines, from Greek ""κίνηση"" kinisi ""movement"") are a broad and loose category of small proteins (~5–20 kDa) that are important in cell signaling. They are released by cells and affect the behavior of other cells. Cytokines can also be involved in autocrine signaling. Cytokines include chemokines, interferons, interleukins, lymphokines, tumour necrosis factor but generally not hormones or growth factors (despite some overlap in the terminology). Cytokines are produced by a broad range of cells, including immune cells like macrophages, B lymphocytes, T lymphocytes and mast cells, as well as endothelial cells, fibroblasts, and various stromal cells; a given cytokine may be produced by more than one type of cell."
Navier-Stokes equations,"In physics, the Navier–Stokes equations /nævˈjeɪ stoʊks/, named after Claude-Louis Navier and George Gabriel Stokes, describe the motion of viscous fluid substances. These balance equations arise from applying Newton's second law to fluid motion, together with the assumption that the stress in the fluid is the sum of a diffusing viscous term (proportional to the gradient of velocity) and a pressure term—hence describing viscous flow. The main difference between them and the simpler Euler equations for inviscid flow is that Navier–Stokes equations also in the Froude limit (no external field) are not conservation equations, but rather a dissipative system, in the sense that they cannot be put into the quasilinear homogeneous form:"
Born-Oppenheimer approximation,"In quantum chemistry and molecular physics, the Born–Oppenheimer (BO) approximation is the assumption that the motion of atomic nuclei and electrons in a molecule can be separated. The approach is named after Max Born and J. Robert Oppenheimer. In mathematical terms, it allows the wavefunction of a molecule to be broken into its electronic and nuclear (vibrational, rotational) components."
X-ray,"X-radiation (composed of X-rays) is a form of electromagnetic radiation. Most X-rays have a wavelength ranging from 0.01 to 10 nanometers, corresponding to frequencies in the range 30 petahertz to 30 exahertz (3×1016 Hz to 3×1019 Hz) and energies in the range 100 eV to 100 keV. X-ray wavelengths are shorter than those of UV rays and typically longer than those of gamma rays. In many languages, X-radiation is referred to with terms meaning Röntgen radiation, after Wilhelm Röntgen, who is usually credited as its discoverer, and who had named it X-radiation to signify an unknown type of radiation. Spelling of X-ray(s) in the English language includes the variants x-ray(s), xray(s), and X ray(s)."
Richard Dawkins,"Clinton Richard Dawkins FRS FRSL (born 26 March 1941) is a British ethologist, evolutionary biologist, and writer. He is an emeritus fellow of New College, Oxford, and was the University of Oxford's Professor for Public Understanding of Science from 1995 until 2008."
Xylem,"Xylem is one of the two types of transport tissue in vascular plants, phloem being the other. The word xylem is derived from the Greek word ξύλον (xylon), meaning ""wood""; the best-known xylem tissue is wood, though it is found throughout the plant."
Antoine Lavoisier,"Antoine-Laurent de Lavoisier (also Antoine Lavoisier after the French Revolution; 26 August 1743 – 8 May 1794; French pronunciation: ​[ɑ̃twan lɔʁɑ̃ də lavwazje]) was a French nobleman and chemist central to the 18th-century chemical revolution and had a large influence on both the history of chemistry and the history of biology. He is widely considered in popular literature as the ""father of modern chemistry"". This label, however, is more a product of Lavoisier's eminent skill as a self-promoter and underplays his dependence on the instruments, experiments, and ideas of other chemists."
Java (programming language),"Java is a general-purpose computer programming language that is concurrent, class-based, object-oriented, and specifically designed to have as few implementation dependencies as possible. It is intended to let application developers ""write once, run anywhere"" (WORA), meaning that compiled Java code can run on all platforms that support Java without the need for recompilation. Java applications are typically compiled to bytecode that can run on any Java virtual machine (JVM) regardless of computer architecture. As of 2015, Java is one of the most popular programming languages in use, particularly for client-server web applications, with a reported 9 million developers. Java was originally developed by James Gosling at Sun Microsystems (which has since been acquired by Oracle Corporation) and released in 1995 as a core component of Sun Microsystems' Java platform. The language derives much of its syntax from C and C++, but it has fewer low-level facilities than either of them."
Vorticity,"In continuum mechanics, the vorticity is a pseudovector field that describes the local spinning motion of a continuum near some point (the tendency of something to rotate ), as would be seen by an observer located at that point and traveling along with the flow."
Nitroglycerin,"Nitroglycerin (NG), also known as nitroglycerine, trinitroglycerin (TNG), trinitroglycerine, nitro, glyceryl trinitrate (GTN), or 1,2,3-trinitroxypropane, is a heavy, colorless, oily, explosive liquid most commonly produced by nitrating glycerol with white fuming nitric acid under conditions appropriate to the formation of the nitric acid ester. Chemically, the substance is an organic nitrate compound rather than a nitro compound, yet the traditional name is often retained. Invented in 1847, nitroglycerin has been used as an active ingredient in the manufacture of explosives, mostly dynamite, and as such it is employed in the construction, demolition, and mining industries. Since the 1880s, it has been used by the military as an active ingredient, and a gelatinizer for nitrocellulose, in some solid propellants, such as cordite and ballistite."
Phosphorescence,"Phosphorescence is a specific type of photoluminescence related to fluorescence. Unlike fluorescence, a phosphorescent material does not immediately re-emit the radiation it absorbs. The slower time scales of the re-emission are associated with ""forbidden"" energy state transitions in quantum mechanics. As these transitions occur very slowly in certain materials, absorbed radiation may be re-emitted at a lower intensity for up to several hours after the original excitation."
Roger Bacon,"Roger Bacon, OFM (Latin: Rogerus or Rogerius Bacon, also Frater Rogerus, ""Brother Roger""; c. 1214 – c. 1292), also known by the scholastic accolade Doctor Mirabilis (Latin for ""wonderful teacher""), was an English philosopher and Franciscan friar who placed considerable emphasis on the study of nature through empirical methods. In the early modern era, he was regarded as a wizard and particularly famed for the story of his mechanical or necromantic brazen head. He is sometimes credited (mainly since the 19th century) as one of the earliest European advocates of the modern scientific method inspired by Aristotle and by later scholars such as the Arab scientist Alhazen. His linguistic work has been heralded for its early exposition of a universal grammar. However, more recent re-evaluations emphasise that Roger Bacon was essentially a medieval thinker, with much of his ""experimental"" knowledge obtained from books in the scholastic tradition. He was, however, partially responsible for a revision of the medieval university curriculum, which saw the addition of optics to the traditional quadrivium. A survey of how Bacon's work was received over the centuries found that it often reflected the concerns and controversies that were central to his readers."
Action potential,"In physiology, an action potential is a short-lasting event in which the electrical membrane potential of a cell rapidly rises and falls, following a consistent trajectory. Action potentials occur in several types of animal cells, called excitable cells, which include neurons, muscle cells, and endocrine cells, as well as in some plant cells. In neurons, they play a central role in cell-to-cell communication. In other types of cells, their main function is to activate intracellular processes. In muscle cells, for example, an action potential is the first step in the chain of events leading to contraction. In beta cells of the pancreas, they provoke release of insulin. Action potentials in neurons are also known as ""nerve impulses"" or ""spikes"", and the temporal sequence of action potentials generated by a neuron is called its ""spike train"". A neuron that emits an action potential is often said to ""fire""."
Energy,"In physics, energy is a property of objects which can be transferred to other objects or converted into different forms, but cannot be created or destroyed. The ""ability of a system to perform work"" is a common description, but it is difficult to give one single comprehensive definition of energy because of its many forms. For instance, in SI units, energy is measured in joules, and one joule is defined ""mechanically"", being the energy transferred to an object by the mechanical work of moving it a distance of 1 metre against a force of 1 newton. However, there are many other definitions of energy, depending on the context, such as thermal energy, radiant energy, electromagnetic, nuclear, etc., where definitions are derived that are the most convenient."
Python (programming language),"Python is a widely used general-purpose, high-level programming language. Its design philosophy emphasizes code readability, and its syntax allows programmers to express concepts in fewer lines of code than would be possible in languages such as C++ or Java. The language provides constructs intended to enable clear programs on both a small and large scale."
Mach number,"In fluid dynamics, the Mach number (M or Ma) (/mɑːx/; German: [maχ]) is a dimensionless quantity representing the ratio of flow velocity past a boundary to the local speed of sound."
Sponge,"Sponges are animals of the phylum Porifera (/pɒˈrɪfərə/; meaning ""pore bearer""). They are multicellular organisms that have bodies full of pores and channels allowing water to circulate through them, consisting of jelly-like mesohyl sandwiched between two thin layers of cells. Sponges have unspecialized cells that can transform into other types and that often migrate between the main cell layers and the mesohyl in the process. Sponges do not have nervous, digestive or circulatory systems. Instead, most rely on maintaining a constant water flow through their bodies to obtain food and oxygen and to remove wastes."
Bose-Einstein condensate,"A Bose–Einstein condensate (BEC) is a state of matter of a dilute gas of bosons cooled to temperatures very close to absolute zero (that is, very near 5000000000000000000♠0 K or 5000000000000000000♠−273.15 °C). Under such conditions, a large fraction of bosons occupy the lowest quantum state, at which point macroscopic quantum phenomena become apparent."
Entropy,"In thermodynamics, entropy (usual symbol S) is a measure of the number of specific realizations or microstates which may realize a thermodynamic system in a defined state specified by macroscopic observables. Entropy is commonly understood as a measure of disorder. According to the second law of thermodynamics the entropy of an isolated system never decreases; such a system will spontaneously proceed towards thermodynamic equilibrium, the configuration with maximum entropy. Systems that are not isolated may decrease in entropy, provided they increase the entropy of their environment by at least that same amount. Since entropy is a state function, the change in the entropy of a system is the same for any process that goes from a given initial state to a given final state, whether the process is reversible or irreversible. However, irreversible processes increase the combined entropy of the system and its environment."
Gallbladder,"In vertebrates the gallbladder (also gall bladder, biliary vesicle or cholecyst), is a small organ where bile (a fluid produced by the liver) is stored and concentrated before it is released into the small intestine. Humans can live without a gallbladder. The surgical removal of the gallbladder is called a cholecystectomy."
Argon,"Argon is a chemical element with symbol Ar and atomic number 18. It is in group 18 of the periodic table and is a noble gas. Argon is the third most common gas in the Earth's atmosphere, at 0.93% (9,300 ppm), making it approximately 23.7 times as abundant as the next most common atmospheric gas, carbon dioxide (390 ppm), and more than 500 times as abundant as the next most common noble gas, neon (18 ppm). Nearly all of this argon is radiogenic argon-40 derived from the decay of potassium-40 in the Earth's crust. In the universe, argon-36 is by far the most common argon isotope, being the preferred argon isotope produced by stellar nucleosynthesis in supernovas. In addition, argon is the most prevalent of the noble gases in Earth's crust, with the element composing 0.00015% of this crust."
Georg Cantor,"Georg Ferdinand Ludwig Philipp Cantor (/ˈkæntɔr/ KAN-tor; German: [ˈɡeɔʁk ˈfɛʁdinant ˈluːtvɪç ˈfɪlɪp ˈkantɔʁ]; March 3 [O.S. February 19] 1845 – January 6, 1918) was a German mathematician. He invented set theory, which has become a fundamental theory in mathematics. Cantor established the importance of one-to-one correspondence between the members of two sets, defined infinite and well-ordered sets, and proved that the real numbers are more numerous than the natural numbers. In fact, Cantor's method of proof of this theorem implies the existence of an ""infinity of infinities"". He defined the cardinal and ordinal numbers and their arithmetic. Cantor's work is of great philosophical interest, a fact of which he was well aware."
Echinoderm,"Echinoderm is the common name given to any member of the Phylum Echinodermata (from Ancient Greek, ἐχῖνος, echinos – ""hedgehog"" and δέρμα, derma – ""skin"") of marine animals. The adults are recognizable by their (usually five-point) radial symmetry, and include such well-known animals as starfish, sea urchins, sand dollars, and sea cucumbers, as well as the sea lilies or ""stone lilies"". Echinoderms are found at every ocean depth, from the intertidal zone to the abyssal zone. The phylum contains about 7000 living species, making it the second-largest grouping of deuterostomes (a superphylum), after the chordates (which include the vertebrates, such as birds, fishes, mammals, and reptiles). Echinoderms are also the largest phylum that has no freshwater or terrestrial (land-based) representatives."
Triple-alpha process,The triple-alpha process is a set of nuclear fusion reactions by which three helium-4 nuclei (alpha particles) are transformed into carbon.
Convection,"Convection is the concerted, collective movement of groups or aggregates of molecules within fluids (e.g., liquids, gases) and rheids, through advection or through diffusion or as a combination of both of them. Convection of mass cannot take place in solids, since neither bulk current flows nor significant diffusion can take place in solids. Diffusion of heat can take place in solids, but that is called heat conduction. Convection can be demonstrated by placing a heat source (e.g. a Bunsen burner) at the side of a glass full of a liquid, and observing the changes in temperature in the glass caused by the warmer ghost fluid moving into cooler areas."
Hydrogen,"Hydrogen is a chemical element with chemical symbol H and atomic number 1. With an atomic weight of 7000100794000000000♠1.00794 u, hydrogen is the lightest element on the periodic table. Its monatomic form (H) is the most abundant chemical substance in the Universe, constituting roughly 75% of all baryonic mass. Non-remnant stars are mainly composed of hydrogen in its plasma state. The most common isotope of hydrogen, termed protium (name rarely used, symbol 1H), has one proton and no neutrons."
Penicillin,"Penicillin (PCN or pen) is a group of antibiotics which include penicillin G (intravenous use), penicillin V (oral use), procaine penicillin, and benzathine penicillin (intramuscular use). They are derived from Penicillium fungi. Penicillin antibiotics were among the first medications to be effective against many bacterial infections caused by staphylococci and streptococci. Penicillins are still widely used today, though many types of bacteria have developed resistance following extensive use. All penicillins are β-lactam antibiotics. About 10% of people report that they are allergic to penicillin; however, 90% of this group are not actually allergic. Serious allergies only occur in about 0.03%."
Rudolf Clausius,"Rudolf Julius Emanuel Clausius (born Rudolf Gottlieb; 2 January 1822 – 24 August 1888), was a German physicist and mathematician and is considered one of the central founders of the science of thermodynamics. By his restatement of Sadi Carnot's principle known as the Carnot cycle, he put the theory of heat on a truer and sounder basis. His most important paper, On the Moving Force of Heat, published in 1850, first stated the basic ideas of the second law of thermodynamics. In 1865 he introduced the concept of entropy. In 1870 he introduced the virial theorem which applied to heat."
Myoglobin,"Myoglobin is an iron- and oxygen-binding protein found in the muscle tissue of vertebrates in general and in almost all mammals. It is related to hemoglobin, which is the iron- and oxygen-binding protein in blood, specifically in the red blood cells. In humans, myoglobin is only found in the bloodstream after muscle injury. It is an abnormal finding, and can be diagnostically relevant when found in blood. "
Michael J. S. Dewar,"Michael James Steuart Dewar (24 September 1918 - 10 October 1997) was a theoretical chemist born in Ahmednagar, India in 1918."
Systemic lupus erythematosus,"Systemic lupus erythematosus, often abbreviated as SLE or lupus, is a systemic autoimmune disease (or autoimmune connective tissue disease) in which the body’s immune system mistakenly attacks healthy tissue. There are many kinds of lupus. The most common type is systemic lupus erythematosus (SLE), which affects many internal organs in the body. SLE most often harms the heart, joints, skin, lungs, blood vessels, liver, kidneys, and nervous system. The course of the disease is unpredictable, with periods of illness (called flare-ups) alternating with remissions."
Monsanto process,"The Monsanto process is an industrial method for the manufacture of acetic acid by catalytic carbonylation of methanol. The Monsanto process has largely been supplanted by the Cativa process, a similar iridium-based process developed by BP Chemicals Ltd which is more economical and environmentally friendly."
Lagrangian,"Joseph-Louis Lagrange (/ləˈɡrɑːndʒ/ or /ləˈɡreɪndʒ/; French: [laˈgrɑ̃ʒ]), born Giuseppe Lodovico Lagrangia or Giuseppe Ludovico De la Grange Tournier (also reported as Giuseppe Luigi Lagrange or Lagrangia) (25 January 1736 – 10 April 1813) was an Italian Enlightenment Era mathematician and astronomer. He made significant contributions to the fields of analysis, number theory, and both classical and celestial mechanics."
Erythrocyte,"Red blood cells (RBCs), also called erythrocytes, are the most common type of blood cell and the vertebrate organism's principal means of delivering oxygen (O2) to the body tissues—via blood flow through the circulatory system. RBCs take up oxygen in the lungs or gills and release it into tissues while squeezing through the body's capillaries."
Adsorption,"Adsorption is the adhesion of atoms, ions, or molecules from a gas, liquid, or dissolved solid to a surface. This process creates a film of the adsorbate on the surface of the adsorbent. This process differs from absorption, in which a fluid (the absorbate) permeates or is dissolved by a liquid or solid (the absorbent). Adsorption is a surface-based process while absorption involves the whole volume of the material. The term sorption encompasses both processes, while desorption is the reverse of it. Adsorption is a surface phenomenon."
DNA methylation,"DNA methylation is a process by which methyl groups are added to DNA. Methylation modifies the function of the DNA. When located in a gene promoter, DNA methylation typically acts to repress gene transcription. DNA methylation is essential for normal development and is associated with a number of key processes including genomic imprinting, X-chromosome inactivation, repression of repetitive elements, and carcinogenesis."
Botulism,"Botulism (Latin, botulus, a sausage) is a rare and potentially fatal illness caused by a toxin produced by the bacterium Clostridium botulinum. The disease begins with weakness, trouble seeing, feeling tired, and trouble speaking. This may then be followed by weakness of the arms, chest muscles, and legs. The disease does not usually affect consciousness or cause a fever."
Huitzilopochtli,"In the Aztec religion, Huitzilopochtli (Classical Nahuatl: Huītzilōpōchtli [wi:t͡siloːˈpoːt͡ʃt͡ɬi]), is a Mesoamerican deity of war, sun, human sacrifice and the patron of the city of Tenochtitlan. He was also the national god of the Mexicas, also known as Aztecs, of Tenochtitlan. Many in the pantheon of deities of the Aztecs were inclined to have a fondness for a particular aspect of warfare. However, Huitzilopochtli was known as the primary god of war in ancient Mexico. Since he was the patron god of the Mexica, he was credited with both the victories and defeats that the Mexica people had on the battlefield. It is important to remember that the defeat of their patron deity meant the defeat of his people. This is one of the many reasons why they were concerned with providing exquisite tribute and food for him. Not only was it important for him to survive his battles, but the fate of the Mexica people would have rested in the victory of Huitzilopochtli."
Tachyon,"A tachyon /ˈtæki.ɒn/ or tachyonic particle is a hypothetical particle that always moves faster than light. The word comes from the Greek: ταχύ pronounced tachy /ˈtɑːxi/, meaning rapid. It was coined in 1967 by Gerald Feinberg. The complementary particle types are called luxon (always moving at the speed of light) and bradyon (always moving slower than light), which both exist. The possibility of particles moving faster than light was first proposed by O. M. P. Bilaniuk, V. K. Deshpande, and E. C. G. Sudarshan in 1962, although the term they used for it was ""meta-particle""."
Parallax,"Parallax is a displacement or difference in the apparent position of an object viewed along two different lines of sight, and is measured by the angle or semi-angle of inclination between those two lines. The term is derived from the Greek word παράλλαξις (parallaxis), meaning ""alteration"". Nearby objects have a larger parallax than more distant objects when observed from different positions, so parallax can be used to determine distances."
James Prescott Joule,"James Prescott Joule FRS (/dʒuːl/; (24 December 1818 – 11 October 1889) was an English physicist and brewer, born in Salford, Lancashire. Joule studied the nature of heat, and discovered its relationship to mechanical work (see energy). This led to the law of conservation of energy, which led to the development of the first law of thermodynamics. The SI derived unit of energy, the joule, is named after James Joule. He worked with Lord Kelvin to develop the absolute scale of temperature the kelvin. Joule also made observations of magnetostriction, and he found the relationship between the current through a resistor and the heat dissipated, which is now called Joule's first law."
Telomere,"A telomere is a region of repetitive nucleotide sequences at each end of a chromosome, which protects the end of the chromosome from deterioration or from fusion with neighboring chromosomes. Its name is derived from the Greek nouns telos (τέλος) 'end' and merοs (μέρος, root: μερ-) 'part.' For vertebrates, the sequence of nucleotides in telomeres is TTAGGG. This sequence of TTAGGG is repeated approximately 2,500 times in humans."
Bamboo,The bamboos /bæmˈbuː/ are a subfamily (Bambusoideae) of flowering perennial evergreen plants in the grass family Poaceae.
Hash function,"A hash function is any function that can be used to map data of arbitrary size to data of fixed size. The values returned by a hash function are called hash values, hash codes, hash sums, or simply hashes. One use is a data structure called a hash table, widely used in computer software for rapid data lookup. Hash functions accelerate table or database lookup by detecting duplicated records in a large file. An example is finding similar stretches in DNA sequences. They are also useful in cryptography. A cryptographic hash function allows one to easily verify that some input data maps to a given hash value, but if the input data is unknown, it is deliberately difficult to reconstruct it (or equivalent alternatives) by knowing the stored hash value. This is used for assuring integrity of transmitted data, and is the building block for HMACs, which provide message authentication."
Helmholtz free energy,"In thermodynamics, the Helmholtz free energy is a thermodynamic potential that measures the “useful” work obtainable from a closed thermodynamic system at a constant temperature. The negative of the difference in the Helmholtz energy is equal to the maximum amount of work that the system can perform in a thermodynamic process in which temperature is held constant. If the volume is not held constant, part of this work will be performed as boundary work. The Helmholtz energy is commonly used for systems held at constant volume. Since in this case no work is performed on the environment, the drop in the Helmholtz energy is equal to the maximum amount of useful work that can be extracted from the system. For a system at constant temperature and volume, the Helmholtz energy is minimized at equilibrium."
Transfer RNA,"A transfer RNA (abbreviated tRNA and archaically referred to as sRNA, for soluble RNA) is an adaptor molecule composed of RNA, typically 76 to 90 nucleotides in length, that serves as the physical link between the mRNA and the amino acid sequence of proteins. It does this by carrying an amino acid to the protein synthetic machinery of a cell (ribosome) as directed by a three-nucleotide sequence (codon) in a messenger RNA (mRNA). As such, tRNAs are a necessary component of translation, the biological synthesis of new proteins according to the genetic code."
Lava,"Lava is the molten rock expelled by a volcano during an eruption. The resulting rock after solidification and cooling is also called lava. The molten rock is formed in the interior of some planets, including Earth, and some of their satellites. The source of the heat that melts the rock within the earth is geothermal energy. When first erupted from a volcanic vent, lava is a liquid at temperatures from 700 to 1,200 °C (1,292 to 2,192 °F)."
Star,"A star is a luminous sphere of plasma held together by its own gravity. The nearest star to Earth is the Sun. Other stars are visible from Earth during the night, appearing as a multitude of fixed luminous points in the sky due to their immense distance from Earth. Historically, the most prominent stars were grouped into constellations and asterisms, and the brightest stars gained proper names. Extensive catalogues of stars have been assembled by astronomers, which provide standardized star designations."
Wheatstone bridge,"A Wheatstone bridge is an electrical circuit used to measure an unknown electrical resistance by balancing two legs of a bridge circuit, one leg of which includes the unknown component. The primary benefit of a wheatstone bridge is its ability to provide extremely accurate measurements (in contrast with something like a simple voltage divider). Its operation is similar to the original potentiometer. It was invented by Samuel Hunter Christie in 1833 and improved and popularized by Sir Charles Wheatstone in 1843. One of the Wheatstone bridge's initial uses was for the purpose of soils analysis and comparison."
Special relativity,"In physics, special relativity (SR, also known as the special theory of relativity or STR) is the generally accepted and experimentally well confirmed physical theory regarding the relationship between space and time. In Einstein's original pedagogical treatment, it is based on two postulates: (1) that the laws of physics are invariant (i.e. identical) in all inertial systems (non-accelerating frames of reference); and (2) that the speed of light in a vacuum is the same for all observers, regardless of the motion of the light source. It was originally proposed in 1905 by Albert Einstein in the paper ""On the Electrodynamics of Moving Bodies"". The inconsistency of Newtonian mechanics with Maxwell’s equations of electromagnetism and the inability to discover Earth's motion through a luminiferous aether led to the development of special relativity, which corrects mechanics to handle situations involving motions nearing the speed of light. As of today, special relativity is the most accurate model of motion at any speed. Even so, the Newtonian mechanics model is still useful (due to its simplicity and high accuracy) as an approximation at small velocities relative to the speed of light."
Cholera,"Cholera is an infection of the small intestine by some strains of the bacterium Vibrio cholerae. Symptoms may range from none, to mild, to severe. The classic symptom is large amounts of watery diarrhea that lasts a few days. Vomiting and muscle cramps may also occur. Diarrhea can be so severe that it leads within hours to severe dehydration and electrolyte imbalance. This may result in sunken eyes, cold skin, decreased skin elasticity, and wrinkling of the hands and feet. The dehydration may result in the skin turning bluish. Symptoms start two hours to five days after exposure."
Potassium,"Potassium is a chemical element with symbol K (derived from Neo-Latin, kalium) and atomic number 19. It was first isolated from potash, the ashes of plants, from which its name is derived. In the Periodic table, potassium is one of seven elements in column (group) 1 (alkali metals): they all have a single valence electron in their outer electron shell, which they readily give up to create an atom with a positive charge - a cation, and combine with anions to form salts. Potassium in nature occurs only in ionic salts. Elemental potassium is a soft silvery-white alkali metal that oxidizes rapidly in air and reacts vigorously with water, generating sufficient heat to ignite hydrogen emitted in the reaction and burning with a lilac flame. It is found dissolved in sea water (which is 0.04% potassium by weight), and is part of many minerals. Naturally occurring potassium is composed of three isotopes, one of which, 40K, is radioactive. Traces of 40K are found in all potassium, and it is the most common radioisotope in the human body."
