answer,question
Henrys law,"In chemistry, Henry's law is one of the gas laws formulated by the English chemist William Henry, who studied the topic in the early 19th century. In his publication about the quantity of gases absorbed by water,[1] he described the results of his experiments: water takes up, of gas condensed by one, two, or more additional atmospheres, a quantity which, ordinarily compressed, would be equal to twice, thrice, &c. the volume absorbed under the common pressure of the atmosphere.In other words, the amount of dissolved gas is proportional to its partial pressure in the gas phase. The proportionality factor is called the Henry's law constant.An everyday example of Henry's law is given by a carbonated soft drink in a bottle. Before it is opened, the gas above the drink is almost pure carbon dioxide at a pressure higher than atmospheric pressure. The drink itself contains dissolved carbon dioxide. When the bottle is opened, this gas escapes, giving the characteristic hiss. Because the partial pressure of carbon dioxide above the liquid is now much lower, some of the dissolved carbon dioxide comes out of the solution as bubbles. If the drink is left in the open, the concentration of carbon dioxide in solution will come into equilibrium with the carbon dioxide in the air, and the drink will go ""flat"". Another example is the depth-dependent dissolution of oxygen and nitrogen in the blood of underwater divers (decompression and decompression sickness)."
Dirac delta function,"In mathematics, the Dirac delta function, or åƒ function, is a generalized function, or distribution, on the real number line that is zero everywhere except at zero, with an integral of one over the entire real line.[1][2][3] The delta function is sometimes thought of as an infinitely high, infinitely thin spike at the origin, with total area one under the spike, and physically represents the density of an idealized point mass or point charge.[4] It was introduced by theoretical physicist Paul Dirac. In the context of signal processing it is often referred to as the unit impulse symbol (or function).[5] Its discrete analog is the Kronecker delta function, which is usually defined on a discrete domain and takes values 0 and 1."
Viscosity,"The viscosity of a fluid is a measure of its resistance to gradual deformation by shear stress or tensile stress.[1] For liquids, it corresponds to the informal concept of ""thickness"". For example, honey has a much higher viscosity than waterViscosity is a property arising from collisions between neighboring particles in a fluid that are moving at different velocities. When the fluid is forced through a tube, the particles which compose the fluid generally move more quickly near the tube's axis and more slowly near its walls: therefore some stress, (such as a pressure difference between the two ends of the tube), is needed to overcome the friction between particle layers to keep the fluid moving. For the same velocity pattern, the stress required is proportional to the fluid's viscosity.A fluid that has no resistance to shear stress is known as an ideal or inviscid fluid. Zero viscosity is observed only at very low temperatures in superfluids. Otherwise, all fluids have positive viscosity, and are technically said to be viscous or viscid. In common parlance however, a liquid is said to be viscous if its viscosity is substantially greater than that of water; and may be described as mobile if the viscosity is noticeably less than water. A fluid with a relatively high viscosity, for example, pitch, may appear to be a solid."
Fractional distillation,"Fractional distillation is the separation of a mixture into its component parts, or fractions, such as in separating chemical compounds by their boiling point by heating them to a temperature at which one or more fractions of the compound will vaporize. It is a special type of distillation. Generally the component parts boil at less than 25 •„C from each other under a pressure of one atmosphere. If the difference in boiling points is greater than 25 •„C, a simple distillation is used."
Cyclic adenosine monophosphate,"Cyclic adenosine monophosphate (cAMP, cyclic AMP, or 3',5'-cyclic adenosine monophosphate) is a second messenger important in many biological processes. cAMP is a derivative of adenosine triphosphate (ATP) and used for intracellular signal transduction in many different organisms, conveying the cAMP-dependent pathway."
Glycogen,"Glycogen is a multibranched polysaccharide of glucose that serves as a form of energy storage in animals[2] and fungi. The polysaccharide structure represents the main storage form of glucose in the body.In humans, glycogen is made and stored primarily in the cells of the liver and the muscles hydrated with three or four parts of water.[3] Glycogen functions as the secondary long-term energy storage, with the primary energy stores being fats held in adipose tissue. Muscle glycogen is converted into glucose by muscle cells, and liver glycogen converts to glucose for use throughout the body including the central nervous system.Glycogen is the analogue of starch, a glucose polymer that functions as energy storage in plants. It has a structure similar to amylopectin (a component of starch), but is more extensively branched and compact than starch. Glycogen is found in the form of granules in the cytosol/cytoplasm in many cell types, and plays an important role in the glucose cycle. Glycogen forms an energy reserve that can be quickly mobilized to meet a sudden need for glucose, but one that is less compact than the energy reserves of triglycerides (lipids)."
Aldehyde,"An aldehyde /??ld?ha?d/ or alkanal is an organic compound containing a formyl group. The formyl group is a functional group, with the structure R-CHO, consisting of a carbonyl center (a carbon double bonded to oxygen) bonded to hydrogen and an R group,[1] which is any generic alkyl or side chain. The group without R is called the aldehyde group or formyl group. Aldehydes differ from ketones in that the carbonyl is placed at the end of a carbon skeleton rather than between two carbon atoms. Aldehydes are common in organic chemistry. Many fragrances are aldehydes."
Niacin,"Niacin (also known as vitamin B3 or nicotinic acid) is an organic compound with the formula C6H5NO2 and, depending on the definition used, one of the 20 to 80 essential human nutrients. Pharmaceutical and supplemental niacin are primarily used to treat hypercholesterolemia (high cholesterol) and pellagra (niacin deficiency). Insufficient niacin in the diet can cause nausea, skin and mouth lesions, anemia, headaches, and tiredness. The lack of niacin may also be observed in pandemic deficiency disease, which is caused by a lack of five crucial vitamins (niacin, vitamin C, thiamin, vitamin D, and vitamin A) and is usually found in areas of widespread poverty and malnutrition. Niacin has not been found to be useful in decreasing the risk of cardiovascular disease in those already on a statin[3] but appears to be effective in those not taking a statin.[4]"
Gamma,is the third letter of the Greek alphabet. In the system of Greek numerals it has a value of 3. It was derived from the Phoenician letter Gimel gimel. Letters that arose from gamma include the Roman C and G and the Cyrillic letters ß§ and ?.[1]
Helmholtz free energy,"In thermodynamics, the Helmholtz free energy is a thermodynamic potential that measures the •∞useful•π work obtainable from a closed thermodynamic system at a constant temperature. The negative of the difference in the Helmholtz energy is equal to the maximum amount of work that the system can perform in a thermodynamic process in which temperature is held constant. If the volume is not held constant, part of this work will be performed as boundary work. The Helmholtz energy is commonly used for systems held at constant volume. Since in this case no work is performed on the environment, the drop in the Helmholtz energy is equal to the maximum amount of useful work that can be extracted from the system. For a system at constant temperature and volume, the Helmholtz energy is minimized at equilibrium."
Gibberellin,"Gibberellins (GAs) are plant hormones that regulate growth and influence various developmental processes, including stem elongation, germination, dormancy, flowering, sex expression, enzyme induction, and leaf and fruit senescence.Gibberellin was first recognized in 1926 by a Japanese scientist, Eiichi Kurosawa, studying bakanae, the ""foolish seedling"" disease in rice.[1][2] It was first isolated in 1935 by Teijiro Yabuta and Sumuki, from fungal strains (Gibberella fujikuroi) provided by Kurosawa.[1] Yabuta named the isolate as gibberellinInterest in gibberellins outside of Japan began after World War II. In the United States, the first research was undertaken by a unit at Camp Detrick in Maryland, via studying seedlings of the bean Vicia faba.[1] In the United Kingdom, work on isolating new types of gibberellin was undertaken at Imperial Chemical Industries.[1] Interest in gibberellins spread around the world as the potential for its use on various commercially important plants became more obvious. For example, research that started at the University of California, Davis in the mid-1960s led to its commercial use on Thompson seedless table grapes throughout California by 1962.[3] A known antagonist to gibberellin is paclobutrazol (PBZ), which in turn inhibits growth and induces early fruitset as well as seedset."
Alzheimers disease,"Alzheimer's disease (AD), also known as Alzheimer disease, or just Alzheimer's, accounts for 60% to 70% of cases of dementia.[1][2] It is a chronic neurodegenerative disease that usually starts slowly and gets worse over time.[1][2] The most common early symptom is difficulty in remembering recent events (short-term memory loss).[1] As the disease advances, symptoms can include problems with language, disorientation (including easily getting lost), mood swings, loss of motivation, not managing self care, and behavioural issues.[1][2] As a person's condition declines, they often withdraw from family and society.[1] Gradually, bodily functions are lost, ultimately leading to death.[3] Although the speed of progression can vary, the average life expectancy following diagnosis is three to nine years.[4][5]"
Tuberculosis,"Tuberculosis, MTB, or TB (short for tubercle bacillus), in the past also called phthisis, phthisis pulmonalis, or consumption, is a widespread, infectious disease caused by various strains of mycobacteria, usually Mycobacterium tuberculosis.[1] Tuberculosis generally affects the lungs, but can also affect other parts of the body. It is spread through the air when people who have an active TB infection cough, sneeze, or otherwise transmit respiratory fluids through the air.[2] Most infections do not have symptoms, known as latent tuberculosis. About one in ten latent infections eventually progresses to active disease which, if left untreated, kills more than 50% of those so infected.[3]The classic symptoms of active TB infection are a chronic cough with blood-tinged sputum, fever, night sweats, and weight loss (the last of these giving rise to the formerly common term for the disease, ""consumption""). Infection of other organs causes a wide range of symptoms. Diagnosis of active TB relies on radiology (commonly chest X-rays), as well as microscopic examination and microbiological culture of body fluids. Diagnosis of latent TB relies on the tuberculin skin test (TST) and/or blood tests. Treatment is difficult and requires administration of multiple antibiotics over a long period of time. Household, workplace and social contacts are also screened and treated if necessary. Antibiotic resistance is a growing problem in multiple drug-resistant tuberculosis (MDR-TB) infections. Prevention relies on early detection and treatment of cases and on screening programs and vaccination with the bacillus Calmette-Gu®årin vaccine."
Mass,"In physics, mass is a property of a physical body which determines the strength of its mutual gravitational attraction to other bodies, its resistance to being accelerated by a force, and in the theory of relativity gives the mass®Cenergy content of a system. The SI unit of mass is the kilogram (kg)."
Invisible Man,"Invisible Man is a novel by Ralph Ellison, published by Random House in 1952. It addresses many of the social and intellectual issues facing African-Americans early in the twentieth century, including black nationalism, the relationship between black identity and Marxism, and the reformist racial policies of Booker T. Washington, as well as issues of individuality and personal identity.nvisible Man won the U.S. National Book Award for Fiction in 1953.[1] In 1998, the Modern Library ranked Invisible Man nineteenth on its list of the 100 best English-language novels of the 20th century.[2] Time magazine included the novel in its TIME 100 Best English-language Novels from 1923 to 2005."
Tree (data structure),"In computer science, a tree is a widely used abstract data type (ADT)--or data structure implementing this ADT--that simulates a hierarchical tree structure, with a root value and subtrees of children with a parent node, represented as a set of linked nodes.A tree data structure can be defined recursively (locally) as a collection of nodes (starting at a root node), where each node is a data structure consisting of a value, together with a list of references to nodes (the ""children""), with the constraints that no reference is duplicated, and none points to the root Alternatively, a tree can be defined abstractly as a whole (globally) as an ordered tree, with a value assigned to each node. Both these perspectives are useful: while a tree can be analyzed mathematically as a whole, when actually represented as a data structure it is usually represented and worked with separately by node (rather than as a list of nodes and an adjacency list of edges between nodes, as one may represent a digraph, for instance). For example, looking at a tree as a whole, one can talk about ""the parent node"" of a given node, but in general as a data structure a given node only contains the list of its children, but does not contain a reference to its parent (if any)."
Catalysis,"Catalysis (/k??t?l?s?s/) is the increase in the rate of a chemical reaction due to the participation of an additional substance called a catalyst[1] (/?k?t?l?st/). With a catalyst, reactions occur faster and require less activation energy. Because catalysts are not consumed in the catalyzed reaction, they can continue to catalyze the reaction of further quantities of reactant. Often only tiny amounts are required.[2]"
Stark effect,"The Stark effect is the shifting and splitting of spectral lines of atoms and molecules due to presence of an external electric field. The amount of splitting or shifting is called the Stark splitting or Stark shift. In general, one distinguishes first- and second-order Stark effects. The first-order effect is linear in the applied electric field, while the second-order effect is quadratic in the field.The Stark effect is responsible for the pressure broadening (Stark broadening) of spectral lines by charged particles. When the split/shifted lines appear in absorption, the effect is called the inverse Stark effect.The Stark effect is the electric analogue of the Zeeman effect where a spectral line is split into several components due to the presence of a magnetic field.The Stark effect can be explained with fully quantum-mechanical approaches, but it has also been a fertile testing ground for semiclassical methods."
Transpiration,"Transpiration is the process of water movement through a plant and its evaporation from aerial parts, such as leaves, stems and flowers. Water is necessary for plants but only a small amount of water taken up by the roots is used for growth and metabolism. The remaining 99-99.5% is lost by transpiration. Leaf surfaces are dotted with pores called stomata, and in most plants they are more numerous on the undersides of the foliage. The stomata are bordered by guard cells and their stomatal accessory cells (together known as stomatal complex) that open and close the pore.[1] Transpiration occurs through the stomatal apertures, and can be thought of as a necessary ""cost"" associated with the opening of the stomata to allow the diffusion of carbon dioxide gas from the air for photosynthesis. Transpiration also cools plants, changes osmotic pressure of cells, and enables mass flow of mineral nutrients and water from roots to shoots."
Crab Nebula,"The Crab Nebula (catalogue designations M1, NGC 1952, Taurus A) is a supernova remnant and pulsar wind nebula in the constellation of Taurus. It is not, as its name might suggest, in Cancer. The now-current name is due to William Parsons, 3rd Earl of Rosse, who observed the object in 1840 using a 36-inch telescope and produced a drawing that looked somewhat like a crab.[5] Corresponding to a bright supernova recorded by Chinese astronomers in 1054, the nebula was observed later by English astronomer John Bevis in 1731. The nebula was the first astronomical object identified with a historical supernova explosion."
Bose-Einstein condensate,"A Bose®CEinstein condensate (BEC) is a state of matter of a dilute gas of bosons cooled to temperatures very close to absolute zero (that is, very near 0 K or ?273.15 •„C). Under such conditions, a large fraction of bosons occupy the lowest quantum state, at which point macroscopic quantum phenomena become apparent.This state was first predicted, generally, in 1924®C25 by Satyendra Nath Bose and Albert Einstein."
Citric acid cycle,"The citric acid cycle ®C also known as the tricarboxylic acid (TCA) cycle or the Krebs cycle[1][2] ®C is a series of chemical reactions used by all aerobic organisms to generate energy through the oxidation of acetyl-CoA derived from carbohydrates, fats and pro"
Precession,"Precession is a change in the orientation of the rotational axis of a rotating body. In an appropriate reference frame it can be defined as a change in the first Euler angle, whereas the third Euler angle defines the rotation itself. In other words, the axis of rotation of a precessing body itself rotates around another axis. A motion in which the second Euler angle changes is called nutation. In physics, there are two types of precession: torque-free and torque-induced.In astronomy, ""precession"" refers to any of several slow changes in an astronomical body's rotational or orbital parameters, and especially to Earth's precession of the equinoxes. (See section Astronomy below.)"
Phloem,"In vascular plants, phloem is the living tissue that carries organic nutrients (known as photosynthate), in particular, sucrose,[1] a sugar, to all parts of the plant where needed. In trees, the phloem is the innermost layer of the bark, hence the name, derived from the Greek word å’åÀåœå…?? (phloios) meaning """". The phloem is concerned mainly with the transport of soluble organic material made during photosynthesis. This process of transportation is called translocation.[2]ttro"
Four color theorem,"In mathematics, the four color theorem, or the four color map theorem, states that, given any separation of a plane into contiguous regions, producing a figure called a map, no more than four colors are required to color the regions of the map so that no two adjacent regions have the same color. Two regions are called adjacent if they share a common boundary that is not a corner, where corners are the points shared by three or more regions.[1] For example, in the map of the United States of America, Utah and Arizona are adjacent, but Utah and New Mexico, which only share a point that also belongs to Arizona and Colorado, are not.Despite the motivation from coloring political maps of countries, the theorem is not of particular interest to mapmakers. According to an article by the math historian Kenneth May (Wilson 2014, 2), Maps utilizing only four colors are rare, and those that do usually require only three. Books on cartography and the history of mapmaking do not mention the four-color property.Three colors are adequate for simpler maps, but an additional fourth color is required for some maps, such as a map in which one region is surrounded by an odd number of other regions that touch each other in a cycle. The five color theorem, which has a short elementary proof, states that five colors suffice to color a map and was proven in the late 19th century (Heawood 1890); however, proving that four colors suffice turned out to be significantly harder. A number of false proofs and false counterexamples have appeared since the first statement of the four color theorem in 1852.The four color theorem was proven in 1976 by Kenneth Appel and Wolfgang Haken. It was the first major theorem to be proved using a computer. Appel and Haken's approach started by showing that there is a particular set of 1,936 maps, each of which cannot be part of a smallest-sized counterexample to the four color theorem. (If they did appear, you could make a smaller counter-example.) Appel and Haken used a special-purpose computer program to confirm that each of these maps had this property. Additionally, any map that could potentially be a counterexample must have a portion that looks like one of these 1,936 maps. Showing this required hundreds of pages of hand analysis. Appel and Haken concluded that no smallest counterexamples exist because any must contain, yet do not contain, one of these 1,936 maps. This contradiction means there are no counterexamples at all and that the theorem is therefore true. Initially, their proof was not accepted by all mathematicians b"
Lysosome,"A lysosome (derived from the Greek words lysis, meaning ""to loosen"", and soma, ""body"") is a membrane-bound cell organelle found in most animal cells (they are absent in red blood cells). Structurally and chemically, they are spherical vesicles containing hydrolytic enzymes capable of breaking down virtually all kinds of biomolecules, including proteins, nucleic acids, carbohydrates, lipids, and cellular debris. They are known to contain more than 50 different enzymes, which are all optimally active at an acidic environment of about pH 4.5 (about the pH of black coffee). Thus lysosomes act as the waste disposal system of the cell by digesting unwanted materials in the cytoplasm, both from outside of the cell and obsolete components inside the cell. For this function they are popularly referred to as ""suicide bags"" or ""suicide sacs"" of the cell.[1][2] Furthermore, lysosomes are responsible for cellular homeostasis for their involvements in secretion, plasma membrane repair, cell signalling and energy metabolism, which are related to health and diseases.[3] Depending on their functional activity, their sizes can be very different•™the biggest ones can be more than 10 times bigger than the smallest ones.[4] They were discovered and named by Belgian biologist Christian de Duve, who eventually received the Nobel Prize in Physiology or Medicine in 1974. Enzymes of the lysosomes are synthesised in the rough endoplasmic reticulum. The enzymes are released from Golgi apparatus in small vesicles which ultimately fuse with acidic vesicles called endosomes, thus becoming full lysosomes. In this process, the enzymes are specifically tagged with the molecule mannose 6-phosphate to differentiate them from other enzymes. Lysosomes are interlinked with three intracellular processes, namely phagocytosis, endocytosis and autophagy. Extracellular materials such as microorganisms taken up by phagocytosis, macromolecules by endocytosis, and unwanted cell organelles are fused with "
Steel,"Steels are alloys of iron and other elements, primarily carbon, widely used in construction and other applications because of their high tensile strengths and low costs. Carbon, other elements, and inclusions within iron act as hardening agents that prevent the movement of dislocations that otherwise occur in the crystal lattices of iron atoms.The carbon in typical steel alloys may contribute up to 2.1% of its weight. Varying the amount of alloying elements, their formation in the steel either as solute elements, or as precipitated phases, retards the movement of those dislocations that make iron comparatively ductile and weak, and thus controls qualities such as the hardness, ductility, and tensile strength of the resulting steel. Steel's strength compared to pure iron is only possible at the expense of ductility, of which iron has an excess.Although steel had been produced in bloomery furnaces for thousands of years, steel's use expanded extensively after more efficient production methods were devised in the 17th century for blister steel and then crucible steel. With the invention of the Bessemer process in the mid-19th century, a new era of mass-produced steel began. This was followed by Siemens-Martin process and then Gilchrist-Thomas process that refined the quality of steel. With their introductions, mild steel replaced wrought iron.Further refinements in the process, such as basic oxygen steelmaking (BOS), largely replaced earlier methods by further lowering the cost of production and increasing the quality of the metal. Today, steel is one of the most common materials in the world, with more than 1.3 billion tons produced annually. It is a major component in buildings, infrastructure, tools, ships, automobiles, machines, appliances, and weapons. Modern steel is generally identified by various grades defined by assorted standards organizations."
Meissner effect,"The Meissner effect is the expulsion of a magnetic field from a superconductor during its transition to the superconducting state. The German physicists Walther Meissner and Robert Ochsenfeld discovered this phenomenon in 1933 by measuring the magnetic field distribution outside superconducting tin and lead samples.[1] The samples, in the presence of an applied magnetic field, were cooled below their superconducting transition temperature. Below the transition temperature the samples cancelled nearly all interior magnetic fields. They detected this effect only indirectly because the magnetic flux is conserved by a superconductor: when the interior field decreases, the exterior field increases. The experiment demonstrated for the first time that superconductors were more than just perfect conductors and provided a uniquely defining property of the superconducting state.A superconductor with little or no magnetic field within it is said to be in the Meissner state. The Meissner state breaks down when the applied magnetic field is too large. Superconductors can be divided into two classes according to how this breakdown occurs. In Type I superconductors, superconductivity is abruptly destroyed when the strength of the applied field rises above a critical value Hc. Depending on the geometry of the sample, one may obtain an intermediate state[2] consisting of a baroque pattern[3] of regions of normal material carrying a magnetic field mixed with regions of superconducting material containing no field. In Type II superconductors, raising the applied field past a critical value Hc1 leads to a mixed state (also known as the vortex state) in which an increasing amount of magnetic flux penetrates the material, but there remains no resistance to the flow of electric current as long as the current is not too large. At a second critical field strength Hc2, superconductivity is destroyed. The mixed state is actually caused by vortices in the electronic superfluid, sometimes called fluxons because the flux carried by these vortices is quantized. Most pure elemental superconductors, except niobium and carbon nanotubes, are Type I, while almost all impure and compound superconductors are Type II."
Ammonia,"Ammonia or azane is a compound of nitrogen and hydrogen with the formula NH3. It is a colourless gas with a characteristic pungent smell. Ammonia contributes significantly to the nutritional needs of terrestrial organisms by serving as a precursor to food and fertilizers. Ammonia, either directly or indirectly, is also a building block for the synthesis of many pharmaceuticals and is used in many commercial cleaning products. Although common in nature and in wide use, ammonia is both caustic and hazardous in its concentrated form."
Bessel function,"Bessel functions, first defined by the mathematician Daniel Bernoulli and then generalized by Friedrich Bessel, are the canonical solutions y(x) of Bessel's differential equationfor an arbitrary complex number å¡ (the order of the Bessel function). Although å¡ and ?å¡ produce the same differential equation for real å¡, it is conventional to define different Bessel functions for these two values in such a way that the Bessel functions are mostly smooth functions of å¡.The most important cases are for å¡ an integer or half-integer. Bessel functions for integer å¡ are also known as cylinder functions or the cylindrical harmonics because they appear in the solution to Laplace's equation in cylindrical coordinates. Spherical Bessel functions with half-integer å¡ are obtained when the Helmholtz equation is solved in spherical coordinates."
Turbulence,"In fluid dynamics, turbulence or turbulent flow is a flow regime characterized by chaotic property changes. This includes low momentum diffusion, high momentum convection, and rapid variation of pressure and flow velocity in space and time.Flow in which the kinetic energy dies out due to the action of fluid molecular viscosity is called laminar flow. While there is no theorem relating the non-dimensional Reynolds number (Re) to turbulence, flows at Reynolds numbers larger than 5000 are typically (but not necessarily) turbulent, while those at low Reynolds numbers usually remain laminar. In Poiseuille flow, for example, turbulence can first be sustained if the Reynolds number is larger than a critical value of about 2040;[1] moreover, the turbulence is generally interspersed with laminar flow until a larger Reynolds number of about 4000.In turbulent flow, unsteady vortices appear on many scales and interact with each other. Drag due to boundary layer skin friction increases. The structure and location of boundary layer separation often changes, sometimes resulting in a reduction of overall drag. Although laminar-turbulent transition is not governed by Reynolds number,[why?] the same transition occurs if the size of the object is gradually increased, or the viscosity of the fluid is decreased, or if the density of the fluid is increased. Nobel Laureate Richard Feynman described turbulence as ""the most important unsolved problem of classical physics.""[2]"
Xylem,"Xylem is one of the two types of transport tissue in vascular plants, phloem being the other. The word xylem is derived from the Greek word åŒ?åÀåœåÕ (xylon), meaning """"; the best-known xylem tissue is wood, though it is found throughout the plant. The basic function of xylem is to transport water, but it also transports some nutrients..lam"
Genomic imprinting,"Genomic imprinting is the epigenetic phenomenon by which certain genes are expressed in a parent-of-origin-specific manner. If the allele inherited from the father is imprinted, it is thereby silenced, and only the allele from the mother is expressed. If the allele from the mother is imprinted, then only the allele from the father is expressed. Forms of genomic imprinting have been demonstrated in fungi, plants and animals.[1] Genomic imprinting is a fairly rare phenomenon in mammals; most genes are not imprinted.[citation needed]In insects, imprinting affects entire chromosomes. In some insects the entire paternal genome is silenced in male offspring, and thus is involved in sex determination. The imprinting produces effects similar to the mechanisms in other insects that eliminate paternally inherited chromosomes in male offspring, including arrhenotoky.[2]Genomic imprinting is an inheritance process independent of the classical Mendelian inheritance. It is an epigenetic process that involves DNA methylation and histone methylation without altering the genetic sequence. These epigenetic marks are established (""imprinted"") in the germline (sperm or egg cells) of the parents and are maintained through mitotic cell divisions in the somatic cells of an organism.[3]Appropriate imprinting of certain genes is important for normal development. Human diseases involving genomic imprinting include Angelman syndrome and Prader®CWilli syndrome."
Vulcanization,"Vulcanization or vulcanisation is a chemical process for converting natural rubber or related polymers into more durable materials via the addition of sulfur[1] or other equivalent curatives or accelerators. These additives modify the polymer by forming cross-links (bridges) between individual polymer chains.[2][3] Vulcanized materials are less sticky and have superior mechanical properties. The term vulcanized fibre refers to cellulose that has been treated in a zinc chloride solution to cross-link the cellulose fibers.Although the curing of rubber has been carried out since prehistoric times, the modern process of vulcanization, named after Vulcan, the Roman god of fire, was not developed until the 19th century, mainly by Charles Goodyear. Today, a vast array of products are made with vulcanized rubber including tires, shoe soles, hoses, and conveyor belts. Hard vulcanized rubber is sometimes sold under the brand names ebonite or vulcanite, and is used in making articles such as clarinet and saxophone mouth pieces, bowling balls and hockey pucks."
Claude Levi-Strauss," 28 November 1908 ®C 30 October 2009)[2][3][4] was a French anthropologist and ethnologist whose work was key in the development of the theory of structuralism and structural anthropology.[5] He held the chair of Social Anthropology at the Coll®®ge de France between 1959 and 1982 and was elected a member of the Acad®åmie fran?aise in 1973. He received numerous honors from universities and institutions throughout the world and has been called, alongside James George Frazer and Franz Boas,[6] the ""her of modern anthropology"". L®åvi-Strauss argued that the ""avage"" mind had the same structures as the ""civilized"" mind and that human characteristics are the same everywhere.[8][9] These observations culminated in his famous book Tristes Tropiques that established his position as one of the central figures in the structuralist school of thought. As well as sociology, his ideas reached into many fields in the humanities, including philosophy. Structuralism has been defined as ""the search for the underlying patterns of thought in all forms of human activity..g t"
Clausius-Clapeyron relation,"The Clausius®CClapeyron relation, named after Rudolf Clausius[1] and Beno?t Paul ?mile Clapeyron,[2] is a way of characterizing a discontinuous phase transition between two phases of matter of a single constituent. On a pressure®Ctemperature (P®CT) diagram, the line separating the two phases is known as the coexistence curve. The Clausius®CClapeyron relation gives the slope of the tangents to this curve. Mathematically,where \mathrm{d}P/\mathrm{d}T is the slope of the tangent to the coexistence curve at any point, L is the specific latent heat, T is the temperature, \Delta v  is the specific volume change of the phase transition and \Delta s  is the specific entropy change of the phase transition"
Alkyne,"In organic chemistry, an alkyne is an unsaturated hydrocarbon containing at least one carbon•™carbon triple bond between two carbon atoms.[1] The simplest acyclic alkynes with only one triple bond and no other functional groups form a homologous series with the general chemical formula CnH2n-2. Alkynes are traditionally known as acetylenes, although the name acetylene also refers specifically to C2H2, known formally as ethyne using IUPAC nomenclature. Like other hydrocarbons, alkynes are generally hydrophobic but tend to be more reactive."
Stern-Gerlach experiment,"The Stern®CGerlach experiment showed that the spatial orientation of angular momentum is quantized. It demonstrated that atomic-scale systems have intrinsically quantum properties, and that measurement in quantum mechanics affects the system being measured. In the original experiment, silver atoms were sent through a non-uniform magnetic field, which deflected them before they struck a detector screen. Other kinds of particles can be used. If the particles have a magnetic moment related to their spin angular momentum, the magnetic field gradient deflects them from a straight path. The screen reveals discrete points of accumulation rather than a continuous distribution, owing to the quantum nature of spin. Historically, this experiment was decisive in convincing physicists of the reality of angular momentum quantization in all atomic-scale systems."
Neutron,"The neutron is a subatomic particle, symbol n or n0, with no net electric charge and a mass slightly larger than that of a proton. Protons and neutrons, each with mass approximately one atomic mass unit, constitute the nucleus of an atom, and they are collectively referred to as nucleons.[4] Their properties and interactions are described by nuclear physics.The nucleus consists of Z protons, where Z is called the atomic number, and N neutrons, where N is the neutron number. The atomic number defines the chemical properties of the atom, and the neutron number determines the isotope or nuclide.[5] The terms isotope and nuclide are often used synonymously, but they refer to chemical and nuclear properties, respectively. The atomic mass number, symbol A, equals Z+N. For example, carbon has atomic number 6, and its abundant carbon-12 isotope has 6 neutrons, whereas its rare carbon-13 isotope has 7 neutrons. Some elements occur in nature with only one stable isotope, such as fluorine (see stable nuclide). Other elements occur as many stable isotopes, such as tin with ten stable isotopes. Even though it is not a chemical element, the neutron is included in the table of nuclides.[6]Within the nucleus, protons and neutrons are bound together through the nuclear force, and neutrons are required for the stability of nuclei. Neutrons are produced copiously in nuclear fission and fusion. They are a primary contributor to the nucleosynthesis of chemical elements within stars through fission, fusion, and neutron capture processes.The neutron is essential to the production of nuclear power. In the decade after the neutron was discovered in 1932,[7] neutrons were used to effect many different types of nuclear transmutations. With the discovery of nuclear fission in 1938,[8] it was quickly realized that, if a fission event produced neutrons, each of these neutrons might cause further fission events, etc., in a cascade known as a nuclear chain reaction.[5] These events and findings led to the first self-sustaining nuclear reactor (Chicago Pile-1, 1942) and the first nuclear weapon (Trinity, 1945).Free neutrons, or individual neutrons free of the nucleus, are effectively a form of ionizing radiation, and as such, are a biological hazard, depending upon dose.[5] A small natural ""neutron background"" flux of free neutrons exists on Earth, caused by cosmic ray muons, and by the natural radioactivity of spontaneously fissionable elements in the Earth's crust.[9] Dedicated neutron sources like neutron generators, research reactors and spallation sources produce free neutrons for use in irradiation and in neutron scattering experiments."
Leo (constellation),"Leo /?li?o?/ is one of the constellations of the zodiac, lying between Cancer to the west and Virgo to the east. Its name is Latin for lion, and to the ancient Greeks represented the Nemean Lion killed by the mythical Greek hero Heracles (known to the ancient Romans as Hercules) as one of his twelve labors. Its symbol is Leo.svg ( ?). One of the 48 constellations described by the 2nd century astronomer Ptolemy, Leo remains one of the 88 modern constellations today, and one of the most easily recognizable due to its many bright stars and a distinctive shape that is reminiscent of the crouching lion it depicts. The lion's mane and shoulders also form an asterism known as ""the Sickle,"" which to modern observers may resemble a backwards ""question mark."""
Black hole,"A black hole is a geometrically defined region of spacetime exhibiting such strong gravitational effects that nothing•™including particles and electromagnetic radiation such as light•™can escape from inside it.[1] The theory of general relativity predicts that a sufficiently compact mass can deform spacetime to form a black hole.[2][3] The boundary of the region from which no escape is possible is called the event horizon. Although crossing the event horizon has enormous effect on the fate of the object crossing it, it appears to have no locally detectable features. In many ways a black hole acts like an ideal black body, as it reflects no light.[4][5] Moreover, quantum field theory in curved spacetime predicts that event horizons emit Hawking radiation, with the same spectrum as a black body of a temperature inversely proportional to its mass. This temperature is on the order of billionths of a kelvin for black holes of stellar mass, making it essentially impossible to observe."
Angular momentum,"In physics, angular momentum (rarely, moment of momentum or rotational momentum) is the rotational analog of linear momentum. It is an important quantity in physics because it is a conserved quantity ®C the angular momentum of a system rema"
