answer,question
Carboxylic acid,"A carboxylic acid /ˌkɑrbɒkˈsɪlɪk/ is an organic compound that contains a carboxyl group (C(O)OH). The general formula of a carboxylic acid is R−C(O)OH with R referring to the rest of the (possibly quite large) molecule. Carboxylic acids occur widely and include the amino acids and acetic acid (as vinegar). Salts and esters of carboxylic acids are called carboxylates. When a carboxyl group is deprotonated, its conjugate base forms a carboxylate anion. Carboxylate ions are resonance-stabilized, and this increased stability makes carboxylic acids more acidic than alcohols. Carboxylic acids can be seen as reduced or alkylated forms of the Lewis acid carbon dioxide; under some circumstances they can be decarboxylated to yield carbon dioxide. "
Contact process,"The contact process is the current method of producing sulfuric acid in the high concentrations needed for industrial processes. Platinum used to be the catalyst for this reaction, however as it is susceptible to reacting with arsenic impurities in the sulfur feedstock, vanadium(V) oxide (V2O5) is now preferred. This process was patented in 1831 by British vinegar merchant Peregrine Phillips. In addition to being a far more economical process for producing concentrated sulfuric acid than the previous lead chamber process, the contact process also produces sulfur trioxide and oleum. "
Sonic hedgehog,"Sonic hedgehog is a protein that in humans is encoded by the SHH (""sonic hedgehog"") gene. Both the gene and the protein may also be found notated alternatively as ""Shh"". Sonic hedgehog is one of three proteins in the mammalian signaling pathway family called hedgehog, the others being desert hedgehog (DHH) and Indian hedgehog (IHH). SHH is the best studied ligand of the hedgehog signaling pathway. It plays a key role in regulating vertebrate organogenesis, such as in the growth of digits on limbs and organization of the brain. Sonic hedgehog is the best established example of a morphogen as defined by Lewis Wolpert's French flag model—a molecule that diffuses to form a concentration gradient and has different effects on the cells of the developing embryo depending on its concentration. SHH remains important in the adult. It controls cell division of adult stem cells and has been implicated in the development of some cancers. "
Tezcatlipoca,"Tezcatlipoca (/ˌtɛzˌkætliˈpoʊkə/; Classical Nahuatl: Tezcatlipōca pronounced [teskatɬiˈpoːka]) was a central deity in Aztec religion, and his main festival was the Toxcatl ceremony celebrated in the month of May. One of the four sons of Ometeotl, he is associated with a wide range of concepts, including the night sky, the night winds, hurricanes, the north, the earth, obsidian, enmity, discord, rulership, divination, temptation, jaguars, sorcery, beauty, war and strife. His name in the Nahuatl language is often translated as ""Smoking Mirror"" and alludes to his connection to obsidian, the material from which mirrors were made in Mesoamerica which were used for shamanic rituals and prophecy. Another talisman related to Tezcatlipoca was a disc worn as a chest pectoral. This talisman was carved out of abalone shell and depicted on the chest of both Huitzilopochtli and Tezcatlipoca in codex illustrations. He had many epithets which alluded to different aspects of his deity: Titlacauan /ˌtɪtləˈkaʊən/ (""We are his Slaves""), Ipalnemoani (""He by whom we live""), Necoc Yaotl (""Enemy of Both Sides""), Tloque Nahuaque (""Lord of the Near and the Nigh"") and Yohualli Èhecatl (""Night, Wind""), Ome Acatl (""Two Reed""), Ilhuicahua Tlalticpaque (""Possessor of the Sky and Earth""). When depicted he was usually drawn with a black and a yellow stripe painted across his face. He is often shown with his right foot replaced with an obsidian mirror or a bone—an allusion to the creation myth in which he loses his foot battling with the Earth Monster. Sometimes the mirror was shown on his chest, and sometimes smoke would emanate from the mirror. Tezcatlipoca's nagual, his animal counterpart, was the jaguar and his jaguar aspect was the deity Tepeyollotl (""Mountainheart""). In the Aztec ritual calendar the Tonalpohualli Tezcatlipoca ruled the trecena 1 Ocelotl (""1 Jaguar"")—he was also patron of the days with the name Acatl (""reed"")."
Dysentery,"Dysentery is an inflammation of the intestine causing diarrhea with blood. Other symptoms may include fever, abdominal pain, and rectal tenesmus (a feeling of incomplete defecation). It is caused by a number of types of infection such as bacteria, viruses, parasitic worms, or protozoa. It is a type of gastroenteritis. The mechanism is an inflammatory disorder of the intestine, especially of the colon. "
Arrow's impossibility theorem,"In social choice theory, Arrow’s impossibility theorem, the General Possibility Theorem or Arrow’s paradox states that, when voters have three or more distinct alternatives (options), no rank order voting system can convert the ranked preferences of individuals into a community-wide (complete and transitive) ranking while also meeting a pre-specified set of criteria. These pre-specified criteria are called unrestricted domain, non-dictatorship, Pareto efficiency, and independence of irrelevant alternatives. The theorem is often cited in discussions of election theory as it is further interpreted by the Gibbard–Satterthwaite theorem. The theorem is named after economist Kenneth Arrow, who demonstrated the theorem in his doctoral thesis and popularized it in his 1951 book Social Choice and Individual Values. The original paper was titled ""A Difficulty in the Concept of Social Welfare"". In short, the theorem states that no rank-order voting system can be designed that always satisfies these three ""fairness"" criteria:"
Christiaan Barnard,Christiaan Neethling Barnard (8 November 1922 – 2 September 2001) was a South African cardiac surgeon who performed the world's first successful human-to-human heart transplant.  
Zollverein,"The Zollverein ([ˈtsɔlfɛɐ̯ˌʔaɪn]) or German Customs Union was a coalition of German states formed to manage tariffs and economic policies within their territories. Organised by the 1833 Zollverein treaties, the Zollverein formally came into existence on 1 January 1834. However, its foundations had been in development from 1818 with the creation of a variety of custom unions among the German states. By 1866, the Zollverein included most of the German states. The foundation of the Zollverein was the first instance in history in which independent states had consummated a full economic union without the simultaneous creation of a political federation or union. Prussia was the prime motivating force behind the creation of the customs union. Austria was excluded from the Zollverein because of its highly protected industry and also because Prince von Metternich was against the idea. With the founding of the North German Confederation in 1867, the Zollverein included approximately 425,000 square kilometres, and had produced economic agreements with several non-German states, including Sweden-Norway. After the founding of the German Empire in 1871, the Empire assumed the control of the customs union. However, not all states within the Empire were part of the Zollverein until 1888. Conversely, although it was not a state in the German Reich, until 1919 Luxembourg remained in the Zollverein. "
Proline,"Proline (abbreviated as Pro or P; encoded by the codons CCU, CCC, CCA, and CCG) is an ɑ-amino acid that is used in the biosynthesis of proteins. It contains an α-amino group (which is in the protonated -+NH3 form under biological conditions), an α-carboxylic acid group (which is in the deprotonated –COO- form under biological conditions), and a side chain pyrrolidine, classifying it as a nonpolar(at physiological pH), aliphatic amino acid. It is non-essential in humans, meaning the body can synthesize it from the essential amino acid glutamine. Proline is the only amino acid with a secondary amine, classifying it as an imino acid. Furthermore, it is unique in that the alpha-amino group is attached directly to the side chain, making the alpha carbon a direct substituent of the side chain. "
1 (number),"1 (one; /ˈwʌn/ or UK /ˈwɒn/, also called unit, unity, and (multiplicative) identity), is a number, a numeral, and the name of the glyph representing that number. It represents a single entity, the unit of counting or measurement. For example, a line segment of unit length is a line segment of length 1.  "
Baryon,"A baryon is a composite subatomic particle made up of three quarks (as distinct from mesons, which are composed of one quark and one antiquark). Baryons and mesons belong to the hadron family of particles, which are the quark-based particles. The name ""baryon"" comes from the Greek word for ""heavy"" (βαρύς, barys), because, at the time of their naming, most known elementary particles had lower masses than the baryons. As quark-based particles, baryons participate in the strong interaction, whereas leptons, which are not quark-based, do not. The most familiar baryons are the protons and neutrons that make up most of the mass of the visible matter in the universe. Electrons (the other major component of the atom) are leptons. Each baryon has a corresponding antiparticle (antibaryon) where quarks are replaced by their corresponding antiquarks. For example, a proton is made of two up quarks and one down quark; and its corresponding antiparticle, the antiproton, is made of two up antiquarks and one down antiquark."
Spontaneous symmetry breaking,"Spontaneous symmetry breaking is a mode of realization of symmetry breaking in a physical system, where the underlying laws are invariant under a symmetry transformation, but the system as a whole changes under such transformations, in contrast to explicit symmetry breaking. It is a spontaneous process by which a system in a symmetrical state ends up in an asymmetrical state. It thus describes systems where the equations of motion or the Lagrangian obey certain symmetries, but the lowest-energy solutions do not exhibit that symmetry. Consider a symmetrical upward dome with a trough circling the bottom. If a ball is put at the very peak of the dome, the system is symmetrical with respect to a rotation around the center axis. But the ball may spontaneously break this symmetry by rolling down the dome into the trough, a point of lowest energy. Afterward, the ball has come to a rest at some fixed point on the perimeter. The dome and the ball retain their individual symmetry, but the system does not. Most simple phases of matter and phase transitions, like crystals, magnets, and conventional superconductors can be simply understood from the viewpoint of spontaneous symmetry breaking. Notable exceptions include topological phases of matter like the fractional quantum Hall effect."
Momentum,"In classical mechanics, linear momentum or translational momentum (pl. momenta; SI unit kg m/s, or equivalently, N s) is the product of the mass and velocity of an object. For example, a heavy truck moving rapidly has a large momentum—it takes a large or prolonged force to get the truck up to this speed, and it takes a large or prolonged force to bring it to a stop afterwards. If the truck were lighter, or moving more slowly, then it would have less momentum. Like velocity, linear momentum is a vector quantity, possessing a direction as well as a magnitude: "
Natural rubber,"Natural rubber, also called India rubber or caoutchouc, as initially produced, consists of polymers of the organic compound isoprene, with minor impurities of other organic compounds plus water. Malaysia is a leading producer of rubber. Forms of polyisoprene that are used as natural rubbers are classified as elastomers. Natural rubber is used by many manufacturing companies for the production of rubber products. Currently, rubber is harvested mainly in the form of the latex from certain trees. The latex is a sticky, milky colloid drawn off by making incisions into the bark and collecting the fluid in vessels in a process called ""tapping"". The latex then is refined into rubber ready for commercial processing. Natural rubber is used extensively in many applications and products, either alone or in combination with other materials. In most of its useful forms, it has a large stretch ratio and high resilience, and is extremely waterproof.  "
Adiabatic process,"An adiabatic process is one that occurs without transfer of heat or matter between a thermodynamic system and its surroundings. In an adiabatic process, energy is transferred only as work. The adiabatic process provides a rigorous conceptual basis for the theory used to expound the first law of thermodynamics, and as such it is a key concept in thermodynamics. Some chemical and physical processes occur so rapidly that they may be conveniently described by the ""adiabatic approximation"", meaning that there is not enough time for the transfer of energy as heat to take place to or from the system. In way of example, the adiabatic flame temperature is an idealization that uses the ""adiabatic approximation"" so as to provide an upper limit calculation of temperatures produced by combustion of a fuel. The adiabatic flame temperature is the temperature that would be achieved by a flame if the process of combustion took place in the absence of heat loss to the surroundings."
Acid-base reaction,"An acid–base reaction is a chemical reaction that occurs between an acid and a base. Several theoretical frameworks provide alternative conceptions of the reaction mechanisms and their application in solving related problems. Their importance becomes apparent in analyzing acid–base reactions for gaseous or liquid species, or when acid or base character may be somewhat less apparent. The first of these concepts was provided by the French chemist Antoine Lavoisier, circa 1776.  "
Chordate,"Chordates (/ˈkɔrdeɪts/) are animals possessing a notochord, a hollow dorsal nerve cord, pharyngeal slits, an endostyle, and a post-anal tail for at least some period of their life cycles. Taxonomically, the phylum includes the subphyla Vertebrata, which includes mammals, fish, amphibians, reptiles and birds; Tunicata, which includes salps and sea squirts; and Cephalochordata, comprising the lancelets. Members of the phylum Chordata are bilaterally symmetric, deuterostome coelomates, and the vertebrate chordates display segmentation. Hemichordata, which includes the acorn worms, has been presented as a fourth chordate subphylum, but it now is usually treated as a separate phylum. It, along with the phylum Echinodermata, which includes starfish, sea urchins, sea cucumbers and their kin, are the chordates' closest relatives. Primitive chordates are known from at least as early as the Cambrian explosion. Of the more than 65,000 living species of chordates, about half are bony fish of the class Osteichthyes. The world's largest and fastest animals, the blue whale and peregrine falcon respectively, are chordates, as are humans."
William Rowan Hamilton,"Sir William Rowan Hamilton (midnight, 3–4 August 1805 – 2 September 1865) was an Irish physicist, astronomer, and mathematician, who made important contributions to classical mechanics, optics, and algebra. His studies of mechanical and optical systems led him to discover new mathematical concepts and techniques. His best known contribution to mathematical physics is the reformulation of Newtonian mechanics, now called Hamiltonian mechanics. This work has proven central to the modern study of classical field theories such as electromagnetism, and to the development of quantum mechanics. In pure mathematics, he is best known as the inventor of quaternions. Hamilton is said to have shown immense talent at a very early age. Astronomer Bishop Dr. John Brinkley remarked of the 18-year-old Hamilton, 'This young man, I do not say will be, but is, the first mathematician of his age.' "
Hydrochloric acid,"Hydrochloric acid is a clear, colorless, highly pungent solution of hydrogen chloride (HCl) in water. It is a highly corrosive, strong mineral acid with many industrial uses. Hydrochloric acid is found naturally in gastric acid. It was historically called acidum salis, muriatic acid, and spirits of salt because it was produced from rock salt and green vitriol (by Basilius Valentinus in the 15th century) and later from the chemically similar substances common salt and sulfuric acid (by Johann Rudolph Glauber in the 17th century). Free hydrochloric acid was first formally described in the 16th century by Libavius. Later, it was used by chemists such as Glauber, Priestley, and Davy in their scientific research. With major production starting in the Industrial Revolution, hydrochloric acid is used in the chemical industry as a chemical reagent in the large-scale production of vinyl chloride for PVC plastic, and MDI/TDI for polyurethane. It has numerous smaller-scale applications, including household cleaning, production of gelatin and other food additives, descaling, and leather processing. About 20 million tonnes of hydrochloric acid are produced worldwide annually."
Tritium,"Tritium (/ˈtrɪtiəm/ or /ˈtrɪʃiəm/; symbol T or 3H, also known as hydrogen-3) is a radioactive isotope of hydrogen. The nucleus of tritium (sometimes called a triton) contains one proton and two neutrons, whereas the nucleus of protium (by far the most abundant hydrogen isotope) contains one proton and no neutrons. Naturally occurring tritium is extremely rare on Earth, where trace amounts are formed by the interaction of the atmosphere with cosmic rays. The name of this isotope is formed from the Greek word τρίτος (trítos) meaning ""third"".  "
Color,"Color, or colour (see spelling differences) is the visual perceptual property corresponding in humans to the categories called red, blue, yellow, etc. Color derives from the spectrum of light (distribution of light power versus wavelength) interacting in the eye with the spectral sensitivities of the light receptors. Color categories and physical specifications of color are also associated with objects or materials based on their physical properties such as light absorption, reflection, or emission spectra. By defining a color space colors can be identified numerically by their coordinates. Because perception of color stems from the varying spectral sensitivity of different types of cone cells in the retina to different parts of the spectrum, colors may be defined and quantified by the degree to which they stimulate these cells. These physical or physiological quantifications of color, however, do not fully explain the psychophysical perception of color appearance. The science of color is sometimes called chromatics, colorimetry, or simply color science. It includes the perception of color by the human eye and brain, the origin of color in materials, color theory in art, and the physics of electromagnetic radiation in the visible range (that is, what we commonly refer to simply as light)."
Graphene,"Graphene (/ˈɡræf.iːn/) is an allotrope of carbon in the form of a two-dimensional, atomic-scale, hexagonal lattice in which one atom forms each vertex. It is the basic structural element of other allotropes, including graphite, charcoal, carbon nanotubes and fullerenes. It can also be considered as an indefinitely large aromatic molecule, the limiting case of the family of flat polycyclic aromatic hydrocarbons.  Graphene has many extraordinary properties. It is about 207 times stronger than steel by weight, conducts heat and electricity efficiently and is nearly transparent. Researchers have identified the bipolar transistor effect, ballistic transport of charges and large quantum oscillations in the material."
Evaporation,"Evaporation is a type of vaporization of a liquid that occurs from the surface of a liquid into a gaseous phase that is not saturated with the evaporating substance. The other type of vaporization is boiling, which is characterized by bubbles of saturated vapor forming in the liquid phase. Steam produced in a boiler is another example of evaporation occurring in a saturated vapor phase. Evaporation that occurs directly from the solid phase below the melting point, as commonly observed with ice at or below freezing or moth crystals (napthalene or paradichlorobenzene), is called sublimation. On average, a fraction of the molecules in a glass of water have enough heat energy to escape from the liquid. Water molecules from the air enter the water in the glass, but as long as the relative humidity of the air in contact is less than 100% (saturation), the net transfer of water molecules will be to the air. The water in the glass will be cooled by the evaporation until an equilibrium is reached where the air supplies the amount of heat removed by the evaporating water. In an enclosed environment the water would evaporate until the air is saturated. With sufficient temperature, the liquid would turn into vapor quickly (see boiling point). When the molecules collide, they transfer energy to each other in varying degrees, based on how they collide. Sometimes the transfer is so one-sided for a molecule near the surface that it ends up with enough energy to 'escape'."
Diene,In organic chemistry a diene (/ˈdaɪ.iːn/ DY-een) or diolefin (/daɪˈoʊləfɨn/ dy-OH-lə-fin) is a hydrocarbon that contains two carbon double bonds. Dienes occur occasionally in nature. Conjugated dienes are widely used as monomers in the polymer industry.  
Giuseppe Garibaldi,"Giuseppe Garibaldi (Italian: [dʒuˈzɛppe ɡariˈbaldi]; 4 July 1807 in Nice – 2 June 1882 on Caprera) was an Italian general and politician who played a large role in the history of Italy. He is considered, with Camillo Cavour, Victor Emmanuel II and Giuseppe Mazzini, as one of Italy's ""fathers of the fatherland"". Garibaldi was a central figure in the Italian Risorgimento, since he personally commanded and fought in many military campaigns that led eventually to the formation of a unified Italy. He was appointed general by the provisional government of Milan in 1848, General of the Roman Republic in 1849 by the Minister of War, and led the Expedition of the Thousand on behalf and with the consent of Victor Emmanuel II. He has been called the ""Hero of Two Worlds"" because of his military enterprises in Brazil, Uruguay and Europe. These earned him a considerable reputation in Italy and abroad, aided by exceptional international media coverage at the time. Many of the greatest intellectuals of his time, such as Victor Hugo, Alexandre Dumas, and George Sand, showered him with admiration. The United Kingdom and the United States helped him a great deal, offering him financial and military support in difficult circumstances."
Ellipse,"In mathematics, an ellipse is a curve on a plane that surrounds two focal points such that the sum of the distances to the two focal points is constant for every point on the curve. As such, it is a generalization of a circle, which is a special type of an ellipse that has both focal points at the same location. The shape of an ellipse (how 'elongated' it is) is represented by its eccentricity, which for an ellipse can be any number from 0 (the limiting case of a circle) to arbitrarily close to but less than 1. Ellipses are the closed type of conic section: a plane curve that results from the intersection of a cone by a plane. (See figure to the right.) Ellipses have many similarities with the other two forms of conic sections: the parabolas and the hyperbolas, both of which are open and unbounded. The cross section of a cylinder is an ellipse, unless the section is parallel to the axis of the cylinder. Analytically, an ellipse can also be defined as the set of points such that the ratio of the distance of each point on the curve from a given point (called a focus or focal point) to the distance from that same point on the curve to a given line (called the directrix) is a constant, called the eccentricity of the ellipse."
RNA polymerase,"RNA polymerase (RNAP or RNApol), also known as DNA-dependent RNA polymerase, is an enzyme that produces primary transcript RNA. In cells, RNAP is necessary for constructing RNA chains using DNA genes as templates, a process called transcription. RNA polymerase enzymes are essential to life and are found in all organisms and many viruses. In chemical terms, RNAP is a nucleotidyl transferase that polymerizes ribonucleotides at the 3' end of an RNA transcript.  "
Robert Browning,"Robert Browning (7 May 1812 – 12 December 1889) was an English poet and playwright whose mastery of the dramatic monologue made him one of the foremost Victorian poets. His poems are known for their irony, characterization, dark humor, social commentary, historical settings, and challenging vocabulary and syntax. Browning's early career began promisingly, but was not a success. The long poem Pauline brought him to the attention of Dante Gabriel Rossetti, and was followed by Paracelsus, which was praised by Wordsworth and Dickens, but in 1840 the difficult Sordello, which was seen as wilfully obscure, brought his poetry into disrepute. His reputation took more than a decade to recover, during which time he moved away from the Shelleyan forms of his early period and developed a more personal style. In 1846 Browning married the older poet Elizabeth Barrett, who at the time was considerably better known than himself. So started one of history's most famous literary marriages. They went to live in Italy, a country he called 'my university,' and which features frequently in his work. By the time of her death in 1861, he had published the crucial collection Men and Women. The collection Dramatis Personae and the book-length epic poem The Ring and the Book followed, and made him a leading British poet. He continued to write prolifically, but today it is largely the poetry he had written in this middle period on which his reputation rests."
Martin Heidegger,"Martin Heidegger (/ˈhaɪdɛɡər, -dɪɡər/; German: [ˈmaɐ̯tiːn ˈhaɪdɛɡɐ]; 26 September 1889 – 26 May 1976) was a German philosopher and a seminal thinker in the Continental tradition, particularly within the fields of existential phenomenology and philosophical hermeneutics. From his beginnings as a Catholic academic, he developed a groundbreaking and widely influential philosophy. His best known book, Being and Time (1927), is considered one of the most important philosophical works of the 20th century. In it and later works, Heidegger maintained that one's way of questioning defines one's nature. He argued that Western thinking had lost sight of being, and that by people finding themselves as ""always already"" moving within ontological presuppositions, they lose touch with their grasp of being and its truth thus becomes ""muddled"". As a solution to this condition, Heidegger advocated a change in focus from ontologies based on ontic determinants to the fundamental ontological elucidation of being-in-the-world in general, allowing it to reveal, or ""unconceal"" itself as concealment. He wrote extensively on Friedrich Nietzsche and Friedrich Hölderlin in his later career. Heidegger is a controversial figure, largely for his affiliation with Nazism, for which he neither apologized nor publicly expressed regret, although in private he called it ""the biggest stupidity of his life"" (die größte Dummheit seines Lebens)."
Nebula,"A nebula (Latin for ""cloud""; pl. nebulae, nebulæ, or nebulas) is an interstellar cloud of dust, hydrogen, helium and other ionized gases. Originally, nebula was a name for any diffuse astronomical object, including galaxies beyond the Milky Way. The Andromeda Galaxy, for instance, was referred to as the Andromeda Nebula (and spiral galaxies in general as ""spiral nebulae"") before the true nature of galaxies was confirmed in the early 20th century by Vesto Slipher, Edwin Hubble and others. Most nebulae are of vast size, even hundreds of light years in diameter. Although denser than the space surrounding them, most nebulae are far less dense than any vacuum created in an Earthen environment – a nebular cloud the size of the Earth would have a total mass of only a few kilograms. Nebulae are often star-forming regions, such as in the ""Pillars of Creation"" in the Eagle Nebula. In these regions the formations of gas, dust, and other materials ""clump"" together to form larger masses, which attract further matter, and eventually will become massive enough to form stars. The remaining materials are then believed to form planets and other planetary system objects. "
Elephant,"Elephants are large mammals of the family Elephantidae and the order Proboscidea. Two species are traditionally recognised, the African elephant (Loxodonta africana) and the Asian elephant (Elephas maximus), although some evidence suggests that African bush elephants and African forest elephants are separate species (L. africana and L. cyclotis respectively). Elephants are scattered throughout sub-Saharan Africa, South Asia, and Southeast Asia. Elephantidae is the only surviving family of the order Proboscidea; other, now extinct, members of the order include deinotheres, gomphotheres, mammoths, and mastodons. Male African elephants are the largest extant terrestrial animals and can reach a height of 4 m (13 ft) and weigh 7,000 kg (15,000 lb). All elephants have several distinctive features the most notable of which is a long trunk or proboscis, used for many purposes, particularly breathing, lifting water and grasping objects. Their incisors grow into tusks, which can serve as weapons and as tools for moving objects and digging. Elephants' large ear flaps help to control their body temperature. Their pillar-like legs can carry their great weight. African elephants have larger ears and concave backs while Asian elephants have smaller ears and convex or level backs. Elephants are herbivorous and can be found in different habitats including savannahs, forests, deserts and marshes. They prefer to stay near water. They are considered to be keystone species due to their impact on their environments. Other animals tend to keep their distance; predators such as lions, tigers, hyenas and wild dogs usually target only the young elephants (or ""calves""). Females (""cows"") tend to live in family groups, which can consist of one female with her calves or several related females with offspring. The groups are led by an individual known as the matriarch, often the oldest cow. Elephants have a fission-fusion society in which multiple family groups come together to socialise. Males (""bulls"") leave their family groups when they reach puberty, and may live alone or with other males. Adult bulls mostly interact with family groups when looking for a mate and enter a state of increased testosterone and aggression known as musth, which helps them gain dominance and reproductive success. Calves are the centre of attention in their family groups and rely on their mothers for as long as three years. Elephants can live up to 70 years in the wild. They communicate by touch, sight, smell and sound; elephants use infrasound, and seismic communication over long distances. Elephant intelligence has been compared with that of primates and cetaceans. They appear to have self-awareness and show empathy for dying or dead individuals of their kind. African elephants are listed as vulnerable by the International Union for Conservation of Nature (IUCN), while the Asian elephant is classed as endangered. One of the biggest threats to elephant populations is the ivory trade, as the animals are poached for their ivory tusks. Other threats to wild elephants include habitat destruction and conflicts with local people. Elephants are used as working animals in Asia. In the past they were used in war; today, they are often controversially put on display in zoos, or exploited for entertainment in circuses. Elephants are highly recognisable and have been featured in art, folklore, religion, literature and popular culture."
Baruch Spinoza,"Baruch Spinoza (/bəˈruːk spɪˈnoʊzə/; Dutch: [baːˈrux spɪˈnoːzaː]; born Benedito de Espinosa, Portuguese pronunciation: [benɨˈðitu ðɨ iʃpɨˈnozɐ]; 24 November 1632 – 21 February 1677, later Benedict de Spinoza) was a Dutch philosopher of Sephardi Portuguese origin. The breadth and importance of Spinoza's work was not fully realized until many years after his death. By laying the groundwork for the 18th-century Enlightenment and modern biblical criticism, including modern conceptions of the self and the universe, he came to be considered one of the great rationalists of 17th-century philosophy His magnum opus, the posthumous Ethics, in which he opposed Descartes' mind–body dualism, has earned him recognition as one of Western philosophy's most important thinkers. In the Ethics, ""Spinoza wrote the last indisputable Latin masterpiece, and one in which the refined conceptions of medieval philosophy are finally turned against themselves and destroyed entirely."" Hegel said, ""You are either a Spinozist or not a philosopher at all."" His philosophical accomplishments and moral character prompted 20th-century philosopher Gilles Deleuze to name him ""the 'prince' of philosophers"". Spinoza's given name varies between different languages: Hebrew: ברוך שפינוזה‎ Baruch Spinoza, Portuguese: Benedito or Bento de Espinosa and Latin: Benedictus de Spinoza; in all these languages, the given name means ""Blessed"". Spinoza was raised in the Portuguese Jewish community in Amsterdam. He developed highly controversial ideas regarding the authenticity of the Hebrew Bible and the nature of the Divine. The Jewish religious authorities issued a cherem (Hebrew: חרם, a kind of ban, shunning, ostracism, expulsion, or excommunication) against him, effectively excluding him from Jewish society at age 23. His books were also later put on the Catholic Church's Index of Forbidden Books. Spinoza lived an outwardly simple life as a lens grinder, turning down rewards and honours throughout his life, including prestigious teaching positions."
Solar wind,"The solar wind is a stream of charged particles released from the upper atmosphere of the Sun. This plasma consists of mostly electrons, protons and alpha particles with energies usually between 1.5 and 10 keV; embedded in the solar-wind plasma is the interplanetary magnetic field. The solar wind varies in density, temperature and speed over time and over solar longitude. Its particles can escape the Sun's gravity because of their high energy, from the high temperature of the corona and magnetic, electrical and electromagnetic phenomena in it. The solar winds flow outward supersonically at varying speeds depending on their origin reaching up to around one million miles per hour to great distances, filling a region known as the heliosphere, an enormous bubble-like volume surrounded by the interstellar medium. Other related phenomena include the aurora (northern and southern lights), the plasma tails of comets that always point away from the Sun, and geomagnetic storms that can change the direction of magnetic field lines and create strong currents in power grids on Earth. "
Balmer series,"The Balmer series or Balmer lines in atomic physics, is the designation of one of a set of six named series describing the spectral line emissions of the hydrogen atom. The Balmer series is calculated using the Balmer formula, an empirical equation discovered by Johann Balmer in 1885. The visible spectrum of light from hydrogen displays four wavelengths, 410 nm, 434 nm, 486 nm, and 656 nm, that correspond to emissions of photons by electrons in excited states transitioning to the quantum level described by the principal quantum number n equals 2. There are also a number of ultraviolet Balmer lines with wavelengths shorter than 400 nm. "
String (computer science),"In computer programming, a string is traditionally a sequence of characters, either as a literal constant or as some kind of variable. The latter may allow its elements to be mutated and the length changed, or it may be fixed (after creation). A string is generally understood as a data type and is often implemented as an array of bytes (or words) that stores a sequence of elements, typically characters, using some character encoding. A string may also denote more general arrays or other sequence (or list) data types and structures. Depending on programming language and precise data type used, a variable declared to be a string may either cause storage in memory to be statically allocated for a predetermined maximum length or employ dynamic allocation to allow it to hold variable number of elements. When a string appears literally in source code, it is known as a string literal or an anonymous string."
Kaposi's sarcoma,"Kaposi sarcoma (/kəˈpoʊsiː sɑrˈkoʊmə/; KS) is a tumor caused by infection with human herpesvirus 8 (HHV8), also known as Kaposi sarcoma-associated herpesvirus (KSHV) or KS agent. It was originally described by Moritz Kaposi, a Hungarian dermatologist practicing at the University of Vienna in 1872. It became more widely known as one of the AIDS-defining illnesses in the 1980s. The viral cause for this cancer was discovered in 1994. Although KS is now well-established to be caused by a viral infection, there is widespread lack of awareness of this even among persons at risk for KSHV/HHV-8 infection. Kaposi sarcoma (KS) is a systemic disease that can present with cutaneous lesions with or without internal involvement. Four subtypes have been described: Classic KS, affecting middle aged men of Mediterranean descent; African endemic KS; KS in iatrogenically immunosuppressed patients; and AIDS-related KS. The erythematous to violaceous cutaneous lesions seen in KS have several morphologies: macular, patch, plaque, nodular, and exophytic. The cutaneous lesions can be solitary, localized or disseminated. KS can involve the oral cavity, lymph nodes, and viscera. Classic KS tends to be indolent, presenting with erythematous or violaceous patches on the lower extremities. African endemic KS and AIDS-related KS tend to be more aggressive. The AIDS-related KS lesions often rapidly progress to plaques and nodules affecting the upper trunk, face, and oral mucosa. The diagnosis can be made with a tissue biopsy and, if clinically indicated, internal imaging should be done. Once the diagnosis of KS has been made, treatment is based on the subtype and the presence of localized versus systemic disease. Localized cutaneous disease can be treated with cryotherapy, intralesional injections of vinblastine, alitretinoin gel, radiotherapy, topical immunotherapy (Imiquimod), or surgical excision. Extensive cutaneous disease and/or internal disease may require intravenous chemotherapy and immunotherapy. Discontinuation or reduction of immunosuppressive therapy is recommended when KS arises in the setting of iatrogenic immunosuppression. However, with AIDS-related KS, highly active antiretroviral therapy (HAART) has been shown to prevent, or induce regression of, KS. Some AIDS patients have complete resolution of the lesions and prolonged remission while continuing the therapy. Therefore, HAART should be considered first-line treatment for these patients, though they may require other treatments at the same time."
